entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2022-09-06 23:45:00,18781.5,2022-09-07 04:45:00,18714.9,66.6,488633.7399999996,388633.7399999996
2022-09-07 05:00:00,18744.7,2022-09-08 01:15:00,19287.5,542.8,489176.5399999996,389176.5399999996
2022-09-08 01:30:00,19168.6,2022-09-08 04:30:00,19327.0,-190.21,488986.32999999955,388986.32999999955
2022-09-08 04:45:00,19342.3,2022-09-08 07:00:00,19223.0,-119.3,488867.02999999956,388867.02999999956
2022-09-08 07:15:00,19103.5,2022-09-08 09:45:00,19177.6,-74.1,488792.9299999996,388792.9299999996
2022-09-08 10:00:00,19252.8,2022-09-08 12:15:00,19247.4,-5.4,488787.52999999956,388787.52999999956
2022-09-08 12:30:00,19118.6,2022-09-08 13:15:00,19112.6,6.0,488793.52999999956,388793.52999999956
2022-09-08 13:30:00,19341.3,2022-09-09 05:30:00,20684.87,1343.57,490137.09999999957,390137.09999999957
2022-09-10 00:00:00,21253.6,2022-09-10 04:30:00,21376.5,-122.9,490014.19999999955,390014.19999999955
2022-09-10 04:45:00,21447.4,2022-09-10 07:15:00,21477.9,30.5,490044.69999999955,390044.69999999955
2022-09-10 07:30:00,21364.0,2022-09-10 16:30:00,21331.1,32.9,490077.59999999957,390077.59999999957
2022-09-10 16:45:00,21401.1,2022-09-11 00:30:00,21561.0,159.9,490237.4999999996,390237.4999999996
2022-09-11 00:45:00,21540.4,2022-09-11 07:15:00,21556.9,-16.5,490220.9999999996,390220.9999999996
2022-09-11 07:30:00,21605.0,2022-09-11 14:00:00,21555.0,-50.0,490170.9999999996,390170.9999999996
2022-09-11 14:15:00,21476.7,2022-09-11 15:15:00,21602.0,-125.3,490045.6999999996,390045.6999999996
2022-09-11 15:30:00,21682.0,2022-09-11 17:30:00,21672.8,-9.2,490036.4999999996,390036.4999999996
2022-09-11 17:45:00,21621.4,2022-09-11 23:15:00,21640.8,-19.4,490017.09999999957,390017.09999999957
2022-09-11 23:30:00,21732.0,2022-09-12 01:45:00,22036.5,304.5,490321.59999999957,390321.59999999957
2022-09-12 02:00:00,21812.6,2022-09-12 06:45:00,21810.1,2.5,490324.09999999957,390324.09999999957
2022-09-12 07:00:00,21902.7,2022-09-12 15:45:00,22106.0,203.3,490527.39999999956,390527.39999999956
2022-09-12 16:00:00,22086.4,2022-09-12 18:30:00,22312.2,-225.8,490301.59999999957,390301.59999999957
2022-09-12 18:45:00,22390.3,2022-09-13 00:00:00,22387.9,-2.4,490299.19999999955,390299.19999999955
2022-09-13 00:15:00,22140.8,2022-09-13 04:00:00,22203.2,-62.4,490236.7999999995,390236.7999999995
2022-09-13 04:15:00,22339.4,2022-09-13 06:30:00,22372.9,33.5,490270.2999999995,390270.2999999995
2022-09-13 06:45:00,22309.0,2022-09-13 10:00:00,22365.4,-56.4,490213.8999999995,390213.8999999995
2022-09-13 10:15:00,22471.9,2022-09-13 12:30:00,21665.3,-603.52,489610.3799999995,389610.3799999995
2022-09-13 12:45:00,21397.2,2022-09-13 21:30:00,19932.08,1465.12,491075.4999999995,391075.4999999995
2022-09-14 01:00:00,20272.8,2022-09-14 06:15:00,20294.1,21.3,491096.79999999946,391096.79999999946
2022-09-14 06:30:00,20218.4,2022-09-14 08:30:00,20348.3,-129.9,490966.89999999944,390966.89999999944
2022-09-14 08:45:00,20373.2,2022-09-14 11:45:00,20219.8,-221.11,490745.78999999946,390745.78999999946
2022-09-14 12:00:00,20135.5,2022-09-14 12:45:00,20300.3,-164.8,490580.98999999947,390580.98999999947
2022-09-14 13:00:00,20368.4,2022-09-14 17:30:00,20180.1,-188.3,490392.6899999995,390392.6899999995
2022-09-14 17:45:00,20094.6,2022-09-14 21:15:00,19949.5,145.1,490537.78999999946,390537.78999999946
2022-09-14 21:30:00,20030.0,2022-09-15 00:45:00,20149.2,119.2,490656.98999999947,390656.98999999947
